,product_uid,material
8,100001.0,Galvanized Steel
67,100003.0,Composite
202,100007.0,Plastic
229,100008.0,Steel
255,100009.0,Medium Density Fiberboard (MDF)
282,100010.0,Steel
362,100012.0,Bamboo
404,100014.0,Plastic
422,100015.0,Bamboo
440,100016.0,Steel
456,100017.0,Aluminum
476,100018.0,Plastic
491,100019.0,Medium Density Fiberboard (MDF)
511,100020.0,Plastic
606,100022.0,Stainless Steel
615,100023.0,Concrete
660,100026.0,Concrete
694,100028.0,Wood
728,100030.0,Steel
754,100032.0,PVC
768,100033.0,Wire
778,100034.0,Tampico
819,100036.0,Metal
835,100037.0,Fabric
901,100039.0,Steel
928,100040.0,Vinyl
988,100042.0,Vitreous China
1008,100043.0,Grout
1024,100044.0,Acrylic
1047,100045.0,Metal
1071,100046.0,Metal
1089,100047.0,Steel
1114,100048.0,Aluminum
1161,100050.0,Foam
1162,100050.0,Steel
1187,100051.0,Foam
1188,100051.0,Steel
1215,100052.0,Aluminum
1217,100052.0,Aluminum
1219,100052.0,Acrylic
1255,100054.0,Galvanized Steel
1272,100054.0,Steel
1296,100055.0,Metal
1382,100059.0,Ceramic
1399,100060.0,Vinyl
1487,100064.0,Vinyl
1522,100065.0,Ceramic
1681,100071.0,Galvanized Steel
1704,100073.0,Fabric
1742,100074.0,Synthetic
1775,100075.0,Bamboo
1808,100076.0,Wood
1830,100077.0,Black malleable iron
1835,100077.0,Iron
1873,100078.0,Synthetic
1925,100079.0,Wire
1926,100079.0,Glass
1942,100080.0,Steel
1967,100081.0,Composite
1994,100082.0,Metal
1996,100082.0,Metal/ Slate
2014,100083.0,Plastic
2064,100085.0,Vinyl
2108,100086.0,Epoxy/2 part
2148,100088.0,Aluminum
2161,100089.0,Aluminum
2170,100089.0,Rubber
2248,100091.0,Thermoplastic
2397,100095.0,Cast Iron
2443,100096.0,Medium Density Fiberboard (MDF)
2481,100097.0,Foam
2482,100097.0,Aluminum
2496,100097.0,Other
2506,100098.0,Plastic
2518,100099.0,Aluminum
2540,100100.0,Aluminum
2591,100102.0,Steel
2689,100106.0,Acrylonitrile Butadiene Styrene (ABS)
2741,100108.0,Vitreous China
2862,100115.0,Composite
2929,100117.0,Asian hardwood legs with Asian hardwood veneer over MDF
2944,100118.0,Steel
2956,100118.0,Fiberglass
3034,100121.0,Acrylic
3049,100122.0,Steel
3063,100123.0,Plastic
3087,100125.0,Metal
3118,100126.0,"Metal, Plastic"
3119,100126.0,Metal
3153,100128.0,Polyethylene
3197,100131.0,Plastic
3258,100134.0,Other
3319,100136.0,Vitreous China
3349,100137.0,Epoxy/2 part
3390,100139.0,Bi-Metal
3398,100139.0,Multi-Purpose
3472,100142.0,Steel
3494,100143.0,Cast Iron
3549,100145.0,Composite
3575,100146.0,Vinyl
3602,100147.0,Fiberglass
3621,100148.0,Fiberglass
3659,100149.0,Porcelain
3705,100151.0,Acrylic
3785,100155.0,Bamboo
3822,100157.0,Steel
3837,100157.0,Steel
3861,100158.0,Ceramic
3965,100163.0,Multi-Purpose
3974,100163.0,Diamond
3990,100164.0,Other
3992,100164.0,"steel, wood"
4017,100165.0,Wood
4049,100167.0,Steel
4085,100169.0,Powder-Coated Steel
4119,100170.0,Steel
4165,100172.0,Acrylic
4268,100176.0,Metal
4303,100177.0,Metal
4343,100179.0,Steel
4376,100181.0,Medium Density Fiberboard (MDF)
4426,100183.0,Fiberglass
4446,100184.0,Steel
4471,100185.0,Metal
4507,100187.0,Metal
4508,100187.0,SS/Plastic/Metal/Heater Element
4530,100188.0,Steel
4555,100189.0,MDF / Composite Wood
4585,100190.0,Manufactured from laminated particle board
4596,100191.0,Steel
4612,100191.0,Aluminum
4663,100193.0,Wood
4694,100195.0,Galvanized Steel
4823,100199.0,Foam
4824,100199.0,Steel
4847,100200.0,Acrylonitrile Butadiene Styrene (ABS)
4920,100203.0,Travertine
4939,100204.0,Polypropylene with Jute backing
4944,100204.0,0
4988,100206.0,Olefin
4998,100207.0,Iron
5011,100208.0,Steel
5017,100208.0,Brass
5043,100209.0,Steel
5092,100211.0,Metal
5125,100212.0,Wood
5143,100213.0,Rubber
5159,100214.0,Concrete
5178,100215.0,Plastic
5294,100219.0,Metal
5306,100220.0,Steel
5327,100221.0,Steel
5381,100224.0,Wood
5443,100227.0,Steel
5482,100229.0,Clay
5505,100230.0,Steel
5529,100231.0,Aluminum
5605,100233.0,"Polytaft, fiberglass"
5644,100235.0,Aluminum
5758,100240.0,Glass
5774,100241.0,Resin
5818,100243.0,Plastic
5826,100244.0,Medium Density Fiberboard (MDF)
5845,100245.0,Other
5846,100245.0,Polyester
5882,100247.0,Polyfiber
5883,100247.0,Steel
5911,100248.0,Steel
6025,100252.0,Metal
6086,100255.0,Plastic
6125,100257.0,Wood
6141,100258.0,Steel
6179,100260.0,Wood
6250,100262.0,Bamboo
6347,100264.0,Stainless Steel
6370,100266.0,Plastic
6437,100267.0,Stainless Steel
6457,100268.0,Plastic
6487,100269.0,Ceramic
6502,100270.0,Fiberglass
6526,100271.0,Composite
6555,100272.0,Wood
6585,100273.0,Synthetic
6627,100276.0,Plastic
6637,100277.0,Steel
6653,100277.0,Plastic
6673,100278.0,Vinyl
6758,100282.0,HDPE(High Density Polethylene)
6783,100283.0,Synthetic
6846,100286.0,Aluminum
6869,100287.0,Steel
6922,100290.0,Metal
6987,100293.0,Steel
7022,100294.0,Particle Board
7038,100294.0,Granite
7148,100298.0,Aluminum
7180,100299.0,Vitreous China
7187,100300.0,Metal
7195,100300.0,Metal
7235,100301.0,PVC
7269,100302.0,Steel
7308,100304.0,Aluminum
7323,100305.0,Concrete
7338,100306.0,Steel
7365,100307.0,Epoxy/2 part
7403,100308.0,Powder-Coated Steel
7432,100309.0,Multi-Purpose
7438,100309.0,BiMetal
7461,100310.0,Fabric
7536,100314.0,Engineered wood
7564,100315.0,Galvanized Steel
7681,100320.0,Vinyl
7692,100320.0,Vinyl
7728,100321.0,Vinyl
7768,100323.0,Metal
7846,100327.0,Medium Density Fiberboard (MDF)
7870,100328.0,Aluminum
7900,100329.0,Wood
7929,100330.0,Composite
7966,100332.0,Steel
7969,100332.0,Brass
8056,100336.0,Plastic
8074,100337.0,Laminate
8085,100338.0,Comfort Grip
8124,100340.0,Concrete
8137,100341.0,Steel
8185,100343.0,Acrylic
8209,100345.0,Composite
8262,100348.0,Bamboo
8278,100349.0,Metal
8293,100350.0,Fabric
8354,100353.0,Acrylonitrile Butadiene Styrene (ABS)
8370,100354.0,Plastic
8428,100356.0,Aluminum
8451,100357.0,Vitreous China
8469,100357.0,Medium Density Fiberboard (MDF)
8485,100357.0,Porcelain
8536,100359.0,Laminate
8599,100362.0,Steel
8606,100362.0,Plastic
8617,100363.0,Polyethylene
8669,100365.0,Steel
8718,100367.0,Die-Cast
8754,100368.0,Ceramic
8794,100370.0,Plastic
8852,100373.0,Aluminum
8926,100376.0,Fabric
8948,100377.0,Plastic
9021,100380.0,Wire
9038,100381.0,Brass
9059,100382.0,Wood
9079,100383.0,Concrete
9126,100385.0,Granite
9161,100387.0,Wood
9179,100388.0,Vitreous China
9286,100391.0,Composite
9323,100393.0,Steel
9383,100396.0,Concrete
9410,100397.0,Steel
9446,100398.0,Steel
9488,100399.0,Vitreous China
9550,100402.0,Die-Cast
9605,100403.0,Ceramic
9617,100404.0,
9625,100404.0,Cable
9662,100405.0,Zinc
9943,100414.0,Steel
9960,100415.0,Aluminum
10048,100419.0,Steel
10066,100420.0,Steel
10097,100421.0,Other
10120,100422.0,Brass
10218,100425.0,Wood
10274,100427.0,Vinyl
10289,100428.0,Steel
10314,100429.0,Wire
10324,100430.0,Wood
10359,100432.0,Bi-Metal
10367,100432.0,Multi-Purpose
10391,100433.0,Metal
10502,100436.0,Stainless Steel
10550,100438.0,Metal
10576,100439.0,Wood
10577,100439.0,Wood
10606,100440.0,Aluminum
10641,100441.0,Composite
10735,100444.0,Brass
10800,100446.0,Vitreous China
10823,100447.0,Steel
10851,100448.0,Vitreous China
10869,100449.0,Steel
10899,100450.0,Brass
10918,100451.0,Other
11007,100455.0,Wood
11023,100456.0,Steel
11036,100457.0,Aluminum
11057,100458.0,Medium Density Fiberboard (MDF)
11120,100460.0,Foam
11121,100460.0,Steel
11135,100460.0,Glass
11186,100462.0,Composite
11208,100463.0,Polyfiber
11209,100463.0,Steel
11223,100463.0,Glass
11254,100465.0,Wood
11271,100466.0,Wood
11316,100468.0,Vitreous China
11417,100472.0,Wood
11469,100474.0,Steel
11512,100475.0,Aluminum
11525,100476.0,Wood
11558,100478.0,Steel
11573,100478.0,Plastic
11598,100479.0,Laminate
11782,100485.0,Stainless Steel
11821,100486.0,Metal
11864,100488.0,Plastic
11933,100491.0,Chrome-Plated Steel
11934,100491.0,Porcelain
12000,100494.0,Plastic
12017,100495.0,Metal
12020,100495.0,Steel
12092,100497.0,Metal
12124,100498.0,Laminate
12153,100499.0,HDPE(High Density Polethylene)
12178,100500.0,Wood
12228,100502.0,Metal
12302,100505.0,Synthetic
12337,100507.0,Wood
12340,100507.0,Wood
12360,100508.0,Wood
12379,100509.0,Concrete
12450,100512.0,Steel
12493,100514.0,Zinc
12521,100515.0,"Glass,Steel"
12547,100516.0,Comfort Grip
12563,100517.0,Resin
12642,100520.0,Steel
12746,100523.0,Steel
12843,100526.0,Fibre Reinforced Polymer (FRP)
12880,100528.0,Aluminum
12955,100531.0,Steel
13054,100533.0,Galvanized Steel
13131,100537.0,Rubber
13211,100540.0,Acrylic
13232,100542.0,Other
13246,100543.0,Plastic
13333,100546.0,Ceramic
13355,100547.0,Chrome-Plated Steel
13356,100547.0,Porcelain
13370,100548.0,Plastic
13389,100549.0,Metal
13440,100551.0,Porcelain
13450,100552.0,Composite
13526,100554.0,Ceramic
13572,100556.0,Stainless Steel
13601,100558.0,Fiberglass
13619,100559.0,Other
13671,100561.0,100% Polyester
13677,100561.0,0
13709,100562.0,Ceramic
13722,100563.0,Stainless steel
13723,100563.0,Stainless Steel
13768,100565.0,Steel
13834,100568.0,Stone
13875,100569.0,Steel
13966,100573.0,Wood
14054,100577.0,Plywood
14064,100577.0,Steel
14226,100583.0,Plastic
14248,100584.0,Galvanized Steel
14268,100585.0,Foam
14269,100585.0,Steel
14315,100587.0,Laminated Particle Board
14445,100593.0,Steel
14475,100594.0,Acrylic
14535,100596.0,Steel
14564,100597.0,Wood
14625,100598.0,Stainless Steel
14677,100600.0,Composite
14698,100601.0,Steel
14718,100602.0,Aluminum
14743,100603.0,Wood
14753,100603.0,Carbide
14854,100607.0,Canvas
14931,100610.0,Glass
14954,100611.0,Vitreous China
14986,100612.0,Particle Board
15002,100612.0,Engineered quartz composite
15020,100613.0,PVC
15058,100615.0,Steel
15179,100619.0,Stainless Steel
15200,100620.0,Epoxy/2 part
15220,100621.0,Plastic
15268,100623.0,Polypropylene
15286,100624.0,Wood
15323,100625.0,Vitreous China
15345,100626.0,Galvanized Steel
15413,100628.0,Vitreous China
15478,100631.0,Steel
15511,100632.0,Vitreous China
15529,100633.0,Resin
15544,100634.0,Wire
15591,100636.0,Stainless steel
15592,100636.0,Metal
15631,100638.0,High Speed Steel
15668,100639.0,Steel
15742,100640.0,No Shelf
15743,100640.0,Glass
15765,100641.0,Metal
15834,100644.0,Nylon
15859,100645.0,Vinyl
15873,100646.0,Polypropylene
15897,100647.0,Plastic
15969,100649.0,Metal
15971,100649.0,Metal
16001,100650.0,Vitreous China
16126,100654.0,Porcelain
16142,100655.0,Medium Density Fiberboard (MDF)
16304,100659.0,Vitreous China
16325,100661.0,Steel
16341,100662.0,Steel
16357,100663.0,Steel
16373,100664.0,Galvanized Steel
16487,100669.0,Vitreous China
16511,100669.0,Marble
16535,100670.0,Other
16576,100672.0,Steel
16722,100677.0,Resin
16738,100679.0,Polyester
16796,100681.0,Concrete
16812,100682.0,Wood
16853,100684.0,Vinyl
16930,100686.0,Steel
16966,100688.0,Composite
16974,100688.0,Composite
17030,100691.0,Metal
17082,100693.0,Metal
17144,100695.0,Wood
17261,100699.0,Solid Brass
17282,100700.0,Steel
17380,100703.0,Ceramic
17400,100705.0,Fiberglass and PVC
17417,100706.0,Polyester
17430,100707.0,Metal
17476,100709.0,Cement
17573,100712.0,Bi-Metal
17586,100712.0,Multi-Purpose
17626,100714.0,Drywall
17642,100715.0,High Density Fiberboard (HDF)
17692,100717.0,Metal
17780,100720.0,Vinyl
17809,100721.0,Steel
17892,100725.0,Steel
17906,100726.0,Steel
17946,100728.0,Vinyl
17962,100729.0,Aluminum
18017,100731.0,Wire
18078,100733.0,Plastic
18101,100734.0,Steel
18186,100737.0,Marble
18212,100738.0,Powder-Coated Steel
18244,100739.0,Steel
18317,100741.0,plywood
18356,100742.0,Metal
18396,100744.0,Stainless Steel
18420,100745.0,Polypropylene
18473,100747.0,Rubber
18494,100748.0,Metal
18505,100749.0,Wood
18547,100751.0,Metal
18614,100753.0,Steel
18661,100755.0,Synthetic
18673,100756.0,Wood
18706,100757.0,Particle Board
18834,100762.0,Vinyl
18858,100763.0,Other
18933,100766.0,Plastic/Steel
18934,100766.0,Steel
18971,100767.0,Composite
18985,100768.0,Metal
19011,100769.0,Vinyl
19099,100772.0,Composite
19155,100774.0,Comfort Grip
19263,100778.0,Wood
19307,100780.0,Other Wood
19356,100783.0,Vinyl
19400,100784.0,Marble
19589,100790.0,Metal
19614,100791.0,Aluminum
19668,100793.0,rebond
19674,100793.0,80
19685,100794.0,Steel
19728,100795.0,Fiberglass
19744,100796.0,Marble
19761,100796.0,Particle Board
19780,100796.0,Cultured Marble
19826,100798.0,Nylon
19834,100798.0,0
19880,100800.0,Epoxy/2 part
19937,100802.0,Other
19954,100803.0,Other
20023,100805.0,Metal
20042,100806.0,Wire
20054,100807.0,Polyurethane
20150,100811.0,Copper type L hard temper
20153,100811.0,Brass
20195,100813.0,Composite
20241,100815.0,Plastic
20290,100818.0,Aluminum
20340,100820.0,Bamboo
20367,100821.0,Steel
20416,100823.0,Solid Brass
20425,100824.0,Plastic
20443,100825.0,Plastic
20531,100829.0,Cedar
20532,100829.0,Plastic/Metal/Wood
20565,100830.0,Brass
20584,100831.0,Stone
20613,100832.0,Metal
20685,100835.0,Aluminum
20695,100835.0,No Handle
20712,100836.0,Brass
20716,100836.0,Brass
20780,100838.0,Vinyl
20894,100842.0,Iron
20951,100845.0,Wood
21020,100847.0,Glass
21055,100849.0,Metal
21096,100851.0,Aluminum
21121,100852.0,Other
21161,100853.0,Plywood
21195,100854.0,Bamboo
21209,100855.0,Aluminum
21232,100856.0,Steel
21255,100857.0,Steel
21284,100858.0,Plastic
21329,100860.0,Vinyl
21350,100861.0,Vinyl
21366,100862.0,Metal
21385,100863.0,Vinyl
21458,100866.0,Other
21514,100869.0,Laminate
21593,100872.0,Wood
21594,100872.0,Wood
21629,100873.0,Steel
21669,100874.0,Rubber
21768,100877.0,Wrought Iron
21791,100878.0,Steel
21805,100879.0,Galvanized Steel
21860,100881.0,Zinc
21875,100882.0,Aluminum
21928,100884.0,Metal
21999,100887.0,Synthetic
22020,100888.0,Composite
22057,100889.0,PVC
22086,100890.0,Polypropylene
22158,100892.0,PVC
22196,100894.0,PVC
22242,100896.0,Wood
22243,100896.0,Wood
22275,100897.0,Steel
22288,100898.0,Composite
22323,100900.0,Metal
22370,100902.0,Medium Density Fiberboard (MDF)
22433,100904.0,Steel
22458,100905.0,Vinyl
22473,100906.0,Bi-Metal
22483,100906.0,Steel
22484,100906.0,Multi-Purpose
22511,100907.0,Composite Wood
22532,100908.0,Steel
22582,100911.0,Medium Density Fiberboard (MDF)
22592,100912.0,Aluminum
22601,100912.0,Polypropylene
22693,100915.0,Plastic
22725,100916.0,Wood
22787,100918.0,Steel
22831,100920.0,Vinyl
22953,100925.0,Metal
23009,100929.0,Porcelain
23028,100929.0,Medium Density Fiberboard (MDF)
23044,100929.0,Granite
23064,100930.0,Composite
23065,100930.0,Compression Molded Fiberglas and Resin
23083,100931.0,Aluminum
23128,100932.0,Ceramic
23202,100935.0,Other
23265,100939.0,Wood
23379,100943.0,Steel
23393,100943.0,Steel
23461,100945.0,Steel
23472,100945.0,Steel
23513,100947.0,Solid Surface
23567,100949.0,Brass
23588,100950.0,Steel
23616,100952.0,Wood
23619,100952.0,Wood
23684,100954.0,Steel
23741,100957.0,Metal
23743,100957.0,"Metal, wood, fossil stone"
23764,100958.0,Other
23789,100959.0,Vinyl
23826,100960.0,Wood
23923,100964.0,Laminate
23946,100965.0,Steel
23979,100966.0,Metal
24056,100969.0,Polyester
24203,100975.0,Wrought Iron
24295,100980.0,Reinforced
24348,100982.0,Aluminized Steel
24360,100983.0,Multi-Purpose
24369,100983.0,Diamond
24395,100985.0,Stone
24413,100986.0,Steel
24430,100987.0,Rubber
24506,100990.0,Aluminum & Copper
24526,100992.0,Carbon
24537,100992.0,Wood
24548,100993.0,Metal
24559,100993.0,Wood
24566,100993.0,Rubber
24586,100995.0,Metal
24601,100997.0,Concrete
24656,100999.0,Vitreous China
24715,101001.0,Polyethylene
24797,101005.0,Vinyl
24806,101005.0,Vinyl
24831,101007.0,Steel
24864,101008.0,Wood
24867,101008.0,Wood
24893,101009.0,Metal
24904,101010.0,Multi-Purpose
24913,101010.0,Diamond
24932,101011.0,Composite
24951,101012.0,Bi-Metal
24964,101012.0,Multi-Purpose
24983,101013.0,Wood
25010,101014.0,Plastic
25035,101015.0,Wood
25051,101016.0,Concrete
25074,101017.0,Polyester
25160,101021.0,Bamboo
25200,101022.0,Glass
25292,101025.0,Polyfiber
25293,101025.0,Steel
25307,101025.0,Glass
25406,101027.0,Stainless Steel
25417,101028.0,Concrete
25471,101030.0,Bamboo
25534,101032.0,Zinc
25601,101035.0,Aluminum
25624,101036.0,Steel
25650,101037.0,Cast Iron
25707,101039.0,Metal
25790,101042.0,Laminate
25813,101043.0,Vitreous China
25862,101045.0,Vitreous China
25881,101046.0,Plastic
25927,101048.0,Steel
25957,101049.0,Vitreous China
26031,101052.0,Steel
26061,101053.0,Composite
26094,101054.0,Medium Density Fiberboard (MDF)
26118,101055.0,Concrete
26145,101056.0,Vinyl
26192,101058.0,Wire
26208,101059.0,Wood
26269,101061.0,Metal
26281,101062.0,Metal
26291,101062.0,Rubber
26326,101064.0,PVC
26356,101065.0,Rubber
26399,101067.0,Metal
26436,101070.0,Rubber
26493,101072.0,Acrylic
26558,101075.0,Steel
26577,101076.0,"Composite wood, laminate, metal and glass materials"
26605,101077.0,Laminate
26621,101078.0,Vinyl
26656,101079.0,Fiberglass
26720,101082.0,Steel
26725,101082.0,Steel
26768,101084.0,Plastic
26792,101085.0,Metal
27004,101094.0,Wood
27027,101096.0,Plastic
27052,101097.0,Metal
27081,101098.0,Steel
27134,101101.0,Vinyl
27167,101102.0,Vinyl
27255,101105.0,Water
27283,101107.0,Steel
27308,101108.0,Laminated Particle Board
27331,101109.0,Wood
27464,101114.0,Vinyl
27489,101115.0,Vinyl
27524,101116.0,Metal
27633,101120.0,Steel
27657,101122.0,Zinc
27805,101128.0,Plastic
27808,101128.0,Plastic
27832,101129.0,High Density Fiberboard (HDF)
27850,101130.0,Steel
